Version="2.0"
numberBins=-1
binSize=10000
cirKey,startRecNo,endRecNo,min,max
current:vio_1v8:tl,580000,589999,-991.0,470.0
power:vio_1v8:tl,580000,589999,-1.0,2.0
current:3.3v:tl,580000,589999,-557.0,489.0
voltage:3.3v:tl,580000,589999,34.0,41.0
power:tot:tl,580000,589999,-21.0,19.0
power:3.3v:tl,580000,589999,-21.0,19.0
voltage:vio_1v8:tl,590000,599999,-5.0,0.0
current:vio_1v8:tl,590000,599999,-989.0,464.0
power:vio_1v8:tl,590000,599999,-1.0,2.0
current:3.3v:tl,590000,599999,-554.0,514.0
voltage:3.3v:tl,590000,599999,34.0,43.0
power:tot:tl,590000,599999,-20.0,20.0
power:3.3v:tl,590000,599999,-21.0,20.0
voltage:vio_1v8:tl,600000,609999,-5.0,0.0
current:vio_1v8:tl,600000,609999,-1003.0,497.0
power:vio_1v8:tl,600000,609999,-1.0,2.0
current:3.3v:tl,600000,609999,-561.0,433.0
voltage:3.3v:tl,600000,609999,34.0,42.0
power:tot:tl,600000,609999,-21.0,16.0
power:3.3v:tl,600000,609999,-21.0,16.0
voltage:vio_1v8:tl,610000,619999,-5.0,0.0
current:vio_1v8:tl,610000,619999,-913.0,480.0
power:vio_1v8:tl,610000,619999,-1.0,3.0
current:3.3v:tl,610000,619999,-557.0,481.0
voltage:3.3v:tl,610000,619999,35.0,42.0
power:tot:tl,610000,619999,-22.0,19.0
power:3.3v:tl,610000,619999,-22.0,18.0
voltage:vio_1v8:tl,620000,629999,-5.0,0.0
current:vio_1v8:tl,620000,629999,-987.0,487.0
power:vio_1v8:tl,620000,629999,-1.0,2.0
current:3.3v:tl,620000,629999,-540.0,445.0
voltage:3.3v:tl,620000,629999,35.0,43.0
power:tot:tl,620000,629999,-22.0,18.0
power:3.3v:tl,620000,629999,-22.0,17.0
voltage:vio_1v8:tl,630000,639999,-5.0,0.0
current:vio_1v8:tl,630000,639999,-946.0,486.0
power:vio_1v8:tl,630000,639999,-1.0,3.0
current:3.3v:tl,630000,639999,-551.0,455.0
voltage:3.3v:tl,630000,639999,36.0,44.0
power:tot:tl,630000,639999,-21.0,17.0
power:3.3v:tl,630000,639999,-21.0,17.0
voltage:vio_1v8:tl,640000,649999,-5.0,0.0
current:vio_1v8:tl,640000,649999,-976.0,566.0
power:vio_1v8:tl,640000,649999,-1.0,2.0
current:3.3v:tl,640000,649999,-553.0,465.0
voltage:3.3v:tl,640000,649999,37.0,44.0
power:tot:tl,640000,649999,-22.0,18.0
power:3.3v:tl,640000,649999,-22.0,18.0
voltage:vio_1v8:tl,650000,659999,-5.0,0.0
current:vio_1v8:tl,650000,659999,-1026.0,460.0
power:vio_1v8:tl,650000,659999,-1.0,3.0
current:3.3v:tl,650000,659999,-551.0,462.0
voltage:3.3v:tl,650000,659999,37.0,44.0
power:tot:tl,650000,659999,-23.0,19.0
power:3.3v:tl,650000,659999,-23.0,18.0
voltage:vio_1v8:tl,660000,669999,-5.0,0.0
current:vio_1v8:tl,660000,669999,-963.0,474.0
power:vio_1v8:tl,660000,669999,-1.0,3.0
current:3.3v:tl,660000,669999,-551.0,462.0
voltage:3.3v:tl,660000,669999,38.0,44.0
power:tot:tl,660000,669999,-24.0,19.0
power:3.3v:tl,660000,669999,-24.0,19.0
voltage:vio_1v8:tl,670000,679999,-5.0,0.0
current:vio_1v8:tl,670000,679999,-953.0,460.0
power:vio_1v8:tl,670000,679999,-1.0,3.0
current:3.3v:tl,670000,679999,-538.0,462.0
voltage:3.3v:tl,670000,679999,38.0,44.0
power:tot:tl,670000,679999,-23.0,20.0
power:3.3v:tl,670000,679999,-23.0,18.0
voltage:vio_1v8:tl,680000,689999,-5.0,0.0
current:vio_1v8:tl,680000,689999,-980.0,494.0
power:vio_1v8:tl,680000,689999,-1.0,3.0
current:3.3v:tl,680000,689999,-539.0,427.0
voltage:3.3v:tl,680000,689999,39.0,44.0
power:tot:tl,680000,689999,-23.0,18.0
power:3.3v:tl,680000,689999,-23.0,17.0
voltage:vio_1v8:tl,690000,699999,-5.0,0.0
current:vio_1v8:tl,690000,699999,-1175.0,480.0
power:vio_1v8:tl,690000,699999,-1.0,2.0
current:3.3v:tl,690000,699999,-561.0,442.0
voltage:3.3v:tl,690000,699999,39.0,44.0
power:tot:tl,690000,699999,-24.0,20.0
power:3.3v:tl,690000,699999,-24.0,19.0
voltage:vio_1v8:tl,700000,709999,-5.0,0.0
current:vio_1v8:tl,700000,709999,-963.0,507.0
power:vio_1v8:tl,700000,709999,-1.0,2.0
current:3.3v:tl,700000,709999,-581.0,458.0
voltage:3.3v:tl,700000,709999,39.0,45.0
power:tot:tl,700000,709999,-24.0,20.0
power:3.3v:tl,700000,709999,-24.0,19.0
voltage:vio_1v8:tl,710000,719999,-5.0,0.0
current:vio_1v8:tl,710000,719999,-959.0,493.0
power:vio_1v8:tl,710000,719999,-1.0,2.0
current:3.3v:tl,710000,719999,-584.0,445.0
voltage:3.3v:tl,710000,719999,39.0,46.0
power:tot:tl,710000,719999,-24.0,20.0
power:3.3v:tl,710000,719999,-24.0,19.0
voltage:vio_1v8:tl,720000,729999,-5.0,0.0
current:vio_1v8:tl,720000,729999,-946.0,481.0
power:vio_1v8:tl,720000,729999,-1.0,2.0
current:3.3v:tl,720000,729999,-557.0,462.0
voltage:3.3v:tl,720000,729999,39.0,46.0
power:tot:tl,720000,729999,-24.0,21.0
power:3.3v:tl,720000,729999,-24.0,20.0
voltage:vio_1v8:tl,730000,739999,-5.0,0.0
current:vio_1v8:tl,730000,739999,-927.0,547.0
power:vio_1v8:tl,730000,739999,-1.0,4.0
current:3.3v:tl,730000,739999,-531.0,465.0
voltage:3.3v:tl,730000,739999,39.0,46.0
power:tot:tl,730000,739999,-23.0,21.0
power:3.3v:tl,730000,739999,-23.0,20.0
voltage:vio_1v8:tl,740000,749999,-5.0,0.0
current:vio_1v8:tl,740000,749999,-977.0,470.0
power:vio_1v8:tl,740000,749999,-1.0,3.0
current:3.3v:tl,740000,749999,-570.0,442.0
voltage:3.3v:tl,740000,749999,40.0,47.0
power:tot:tl,740000,749999,-25.0,20.0
power:3.3v:tl,740000,749999,-25.0,19.0
voltage:vio_1v8:tl,750000,759999,-5.0,0.0
current:vio_1v8:tl,750000,759999,-973.0,474.0
